Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2020,8,1,00:00,UTC,,1017,,76,,,13.3,9.1,50000,143,1.3,0.7
2020,8,1,00:10,UTC,,1017,,80,,,13.4,10,50000,157,2,1.3
2020,8,1,00:20,UTC,,1017,,85,,,13.4,11,50000,185,2.5,1.9
2020,8,1,00:30,UTC,,1017,,85,,,13.7,11.2,49760,192,2.6,2.3
2020,8,1,00:40,UTC,,1017,,81,,,13.8,10.7,50000,194,3,2.5
2020,8,1,00:50,UTC,,1017,,81,,,13.6,10.5,49400,194,3,2.4
2020,8,1,01:00,UTC,,1017,,82,,,13.4,10.4,50000,197,2.3,2
2020,8,1,01:10,UTC,,1017,,83,,,13.4,10.5,50000,196,2,1.5
2020,8,1,01:20,UTC,,1016.9,,82,,,13.5,10.4,50000,182,1.7,1.4
2020,8,1,01:30,UTC,,1016.9,,80,,,13.8,10.5,50000,196,2.4,1.8
2020,8,1,01:40,UTC,,1016.9,,84,,,13.8,11,50000,199,2.7,2
2020,8,1,01:50,UTC,,1016.9,,83,,,13.8,11,46500,195,2.8,2.1
2020,8,1,02:00,UTC,,1016.9,,88,,,13.6,11.6,45280,209,2.7,2.3
2020,8,1,02:10,UTC,,1016.8,,83,,,13.8,11,46780,225,2.8,2.2
2020,8,1,02:20,UTC,,1016.7,,85,,,13.9,11.4,42360,205,2.6,2
2020,8,1,02:30,UTC,,1016.7,,82,,,13.8,10.8,45020,199,2.6,1.9
2020,8,1,02:40,UTC,,1016.6,,85,,,13.7,11.2,41630,205,2.2,1.9
2020,8,1,02:50,UTC,,1016.7,,86,,,13.6,11.3,48200,207,2.1,1.7
2020,8,1,03:00,UTC,,1016.6,,81,,,13.7,10.6,36310,224,2.5,1.9
2020,8,1,03:10,UTC,,1016.6,,82,,,14,10.9,43830,218,2.7,2
2020,8,1,03:20,UTC,,1016.6,,80,,,14.2,10.9,49460,221,2.6,2
2020,8,1,03:30,UTC,,1016.8,,77,,,14.3,10.3,39100,230,2.9,2.2
2020,8,1,03:40,UTC,,1016.7,,80,,,14.3,10.9,41540,232,3.3,2.4
2020,8,1,03:50,UTC,,1016.8,,78,,,14.4,10.6,40030,245,3,2.5
2020,8,1,04:00,UTC,,1016.7,,76,,,14.6,10.4,36940,246,3.3,2.6
2020,8,1,04:10,UTC,,1016.6,,73,,,14.8,9.9,49020,252,3.8,3
2020,8,1,04:20,UTC,,1016.6,,71,,,15,9.8,37940,248,3.6,3
2020,8,1,04:30,UTC,,1016.6,,70,,,15,9.6,42940,247,3.8,3.3
2020,8,1,04:40,UTC,,1016.5,,70,,,15.2,9.8,50000,250,3.8,3.1
2020,8,1,04:50,UTC,,1016.5,,67,,,15.3,9.2,46110,248,3.8,3.3
2020,8,1,05:00,UTC,,1016.4,,69,,,15.6,10,41980,239,3.6,2.9
2020,8,1,05:10,UTC,,1016.4,,64,,,15.7,8.9,44250,241,3.4,2.7
2020,8,1,05:20,UTC,,1016.4,,65,,,15.9,9.2,40990,232,3.3,2.5
2020,8,1,05:30,UTC,,1016.4,,64,,,16,9.3,41880,233,3,2.3
2020,8,1,05:40,UTC,,1016.3,,62,,,16.2,8.9,45570,233,3.1,2.5
2020,8,1,05:50,UTC,,1016.4,,61,,,16.3,8.7,45360,235,3.3,2.7
2020,8,1,06:00,UTC,,1016.4,,59,,,16.4,8.5,41380,241,3.4,2.7
2020,8,1,06:10,UTC,,1016.5,,61,,,16.5,9,43140,249,3.5,2.7
2020,8,1,06:20,UTC,,1016.5,,61,,,16.6,9.2,46340,248,3.2,2.5
2020,8,1,06:30,UTC,,1016.4,,58,,,16.7,8.5,48990,252,2.7,2.3
2020,8,1,06:40,UTC,,1016.4,,62,,,17,9.6,45050,241,2.6,2.1
2020,8,1,06:50,UTC,,1016.4,,59,,,16.8,8.8,40040,260,2.4,2
2020,8,1,07:00,UTC,,1016.3,,62,,,17.3,9.8,50000,255,2.5,1.9
2020,8,1,07:10,UTC,,1016.2,,62,,,17.3,9.9,38640,263,2.6,2
2020,8,1,07:20,UTC,,1016.2,,58,,,17.2,9,50000,262,2.7,2.2
2020,8,1,07:30,UTC,,1016.2,,58,,,17.3,9,42350,263,3.5,2.3
2020,8,1,07:40,UTC,,1016.2,,61,,,17.5,9.8,50000,263,3.1,2.5
2020,8,1,07:50,UTC,,1016.1,,57,,,17.6,8.9,49380,260,3.6,2.7
2020,8,1,08:00,UTC,,1016.1,,58,,,17.9,9.5,44880,257,3.1,2.3
2020,8,1,08:10,UTC,,1016.1,,59,,,18,10,39930,259,3.6,2.8
2020,8,1,08:20,UTC,,1016.1,,59,,,18.1,10,43840,258,3,2.3
2020,8,1,08:30,UTC,,1016.1,,67,,,17.4,11.2,41770,273,4,2.9
2020,8,1,08:40,UTC,,1016.1,,67,,,17.4,11.3,37340,290,4.2,3.5
2020,8,1,08:50,UTC,,1016,,67,,,17.2,11.1,46640,293,4.8,4
2020,8,1,09:00,UTC,,1016,,66,,,17.5,10.9,43950,291,4.8,4.3
2020,8,1,09:10,UTC,,1016,,65,,,17.5,10.8,45350,286,5,4.4
2020,8,1,09:20,UTC,,1015.9,,65,,,17.7,11.1,46020,281,4.8,4
2020,8,1,09:30,UTC,,1015.8,,66,,,17.8,11.3,41640,279,4.4,3.8
2020,8,1,09:40,UTC,,1015.8,,67,,,17.8,11.6,44870,278,4.2,3.7
2020,8,1,09:50,UTC,,1015.7,,63,,,17.9,10.8,43580,279,4.6,3.8
2020,8,1,10:00,UTC,,1015.7,,63,,,18,10.7,39600,277,4.6,3.9
2020,8,1,10:10,UTC,,1015.7,,65,,,18,11.4,46040,277,4.8,4.1
2020,8,1,10:20,UTC,,1015.6,,65,,,18,11.3,37580,275,5.7,4.8
2020,8,1,10:30,UTC,,1015.6,,67,,,18.1,11.8,42620,276,6.3,5.4
2020,8,1,10:40,UTC,,1015.5,,68,,,18,11.9,47170,276,6.3,5.3
2020,8,1,10:50,UTC,,1015.5,,67,,,18.1,11.9,41820,276,5.9,5
2020,8,1,11:00,UTC,,1015.5,,67,,,18,11.8,43030,277,5.7,5
2020,8,1,11:10,UTC,,1015.4,,68,,,18.1,12.2,44890,278,5.2,4.6
2020,8,1,11:20,UTC,,1015.5,,66,,,18,11.6,46790,283,5.4,4.4
2020,8,1,11:30,UTC,,1015.4,,67,,,18.2,12,41160,284,5,4.2
2020,8,1,11:40,UTC,,1015.4,,67,,,18.1,11.9,41210,282,4.9,4.3
2020,8,1,11:50,UTC,,1015.3,,69,,,18.3,12.6,39590,280,4.7,4.1
2020,8,1,12:00,UTC,,1015.3,,68,,,18.2,12.1,40080,281,5.2,4.5
2020,8,1,12:10,UTC,,1015.3,,70,,,18.2,12.6,39770,284,5.1,4.3
2020,8,1,12:20,UTC,,1015.2,,69,,,18.4,12.7,41180,280,4.7,3.9
2020,8,1,12:30,UTC,,1015,,67,,,18.3,12.1,37330,282,4.2,3.6
2020,8,1,12:40,UTC,,1014.9,,72,,,18.4,13.2,44960,283,4.9,4.1
2020,8,1,12:50,UTC,,1014.9,,68,,,18.6,12.6,41740,278,5.1,4.6
2020,8,1,13:00,UTC,,1014.8,,70,,,18.5,12.8,43110,276,6,5.2
2020,8,1,13:10,UTC,,1014.7,,70,,,18.4,12.8,50000,274,5.5,4.8
